kdppk,nmppk,jnsppk,nmjnsppk,telpppk,latitude,longitude,nmjlnppk,icon
0801U032,Klinik Keluarga Sejahtera,,Klinik Pratama,0721-781701,-5.4016331880862,105.26085583127,JL. TEUKU UMAR NO.80B,libs/assets/images/rs_merah.png
0801U034,Klinik Kedaton Medical Center,,Klinik Pratama,0721-771758,-5.3742,105.242,JL. ZA. PAGAR ALAM NO 77/79,libs/assets/images/rs_merah.png
0801U036,Klinik Ummi HC Kedaton,,Klinik Pratama,0721-787509,-5.38443,105.258,JL. PAGAR ALAM NO 19 ,libs/assets/images/rs_merah.png
0106G018,DRG. FINA RAHMA HUSAINA,,Dokter gigi,085157448298,-5.4147,105.267,JALAN DR. HARUN I NO. 67-D,libs/assets/images/rs_merah.png
0106L005,PRAMITRA BIOLAB INDONESIA,,Laboratorium,0721-5611035,-5.3830334068497,105.27857178731,JL. SULTAN AGUNG OFFICEPARK 15,libs/assets/images/rs_merah.png
0106L006,PRODIA,,Laboratorium,0721-8017700,-5.4229418628916,105.26793105608,JL. JEND. SUDIRMAN NO 120,libs/assets/images/rs_merah.png
0106L007,Lab. Klinik Kimia Farma,,Laboratorium,0721-269901,-5.4178031417215,105.26762283447,JL. GADJAH MADA NO.60/41,libs/assets/images/rs_merah.png
0106L008,LABORATORIUM KESEHATAN,,Laboratorium,0721-701455,-5.40089,105.258,DR SAM RATULANGI NO 103,libs/assets/images/rs_merah.png
0801O001,OPTIK PATEN,,Optik,0721-252055,-5.4105,105.257,JL. PEMUDA NO.31 BANDAR LAMPUN,libs/assets/images/rs_merah.png
0801O006,INTERNASIONAL OPTIKAL,,Optik,0721-253079,-5.410876849092465,105.25740651047226,JL. PEMUDA NO. 29C / 33,libs/assets/images/rs_merah.png
0801O007,OPTIK MODERN,,Optik,0721-708444,-5.40291,105.26,JL.TEUKU UMAR NO. 66-A-C,libs/assets/images/rs_merah.png
0801O008,OPTIK SMART,,Optik,0721- 240979,-5.40787,105.273,JL. PANGERAN ANTASARI NO. 63 B,libs/assets/images/rs_merah.png
0106R009,RSUD DR A DADI TJOKRODIPO,,Rumah sakit,0721-471723,-5.43626,105.253,JL. BASUKI RAHMAT NO. 73,libs/assets/images/rs_hijau.png
0106R010,RS BHAYANGKARA POLDA LAMPUNG,,Rumah sakit,0721-706402,-5.37417522827882,105.22424676322939,JL. PRAMUKA NO. 88 RAJABASA,libs/assets/images/rs_hijau.png
0106R032,RS  BINTANG AMIN,,Rumah sakit,0721-273601,-5.37803,105.219,JL. PRAMUKA NO 27 B LAMPUNG,libs/assets/images/rs_hijau.png
0106R033,RS Imanuel way halim,,Rumah sakit,0721-704900,-5.38594,105.288,JL. SOEKARNO HATTA NO 1,libs/assets/images/rs_hijau.png
0106R036,RSIA PURI BETIK HATI,,Rumah sakit,0721-787799,-5.39416,105.266,JL. PAJAJARAN NO 109 JAGABAYA ,libs/assets/images/rs_hijau.png
0106R037,RSIA RESTU BUNDA,,Rumah sakit,0721-484185,-5.44738,105.256,KH. HASYIM ASHARI NO. 73,libs/assets/images/rs_hijau.png
0106R038,RS ADVENT,,Rumah sakit,0721-703459,-5.39207,105.262,JL. TEUKU UMAR NO.48,libs/assets/images/rs_hijau.png
0106R041,RS GRAHA HUSADA,,Rumah sakit,0721-240000,-5.413140466168817,105.26801072883607,GAJAH MADA NO. 6 GH,libs/assets/images/rs_hijau.png
0106R048,RSIA MUTIARA PUTRI,,Rumah sakit,0721-254999,-5.4229,105.262,HOS COKROAMINOTO NO 96,libs/assets/images/rs_hijau.png
0106R049,RSIA SANTA ANNA,,Rumah sakit,0721-482424,-5.44268,105.268,HASANUDIN NO 27-TELUK BETUNG,libs/assets/images/rs_hijau.png
0106R050,RS MATA LAMPUNG EYE CENTER,,Rumah sakit,0721-782270,-5.38297,105.279,JL. SULTAN AGUNG 12-15 KOMPLEK RUKO SENTRA NIAGA ,libs/assets/images/rs_hijau.png
0106R053,RS HERMINA LAMPUNG,,Rumah sakit,0721-242525,-5.4176974365933,105.26084711409,JL.TULANG BAWANG NO 21-23 ENGG,libs/assets/images/rs_hijau.png
0106R054,RS BUDI MEDIKA,,Rumah sakit,0721-6016888,-5.4438393110316,105.27905599111,JL YOS SUDARSO NO. 85,libs/assets/images/rs_hijau.png
0106R055,RS BELLEZA KEDATON,,Rumah sakit,0721-773338,-5.38069,105.258,JALAN SULTAN HAJI NOMOR 1 ,libs/assets/images/rs_hijau.png
0801R001,RSUD. DR. H. ABDUL MOELOEK,,Rumah sakit, 0721703952,-5.4026,105.259,JL. DR. RIVAI NO.6,libs/assets/images/rs_hijau.png
0801R002,RS. BUMI WARAS,,Rumah sakit,0721-254589,-5.42537,105.251,JL. WOLTER MONGINSIDI NO. 235,libs/assets/images/rs_hijau.png
0801R003,RS. URIP SUMOHARJO,,Rumah sakit,0721-771322,-5.3919,105.276,JL. URIP SUMOHARJO NO.200,libs/assets/images/rs_hijau.png
0801R006,RS TK IV 020704,,Rumah sakit,0721-07217704,-5.4016,105.258,JL.DR.A.RIVAI NO 7,libs/assets/images/rs_hijau.png
0106S001,KLINIK HEMODIALISA LIONS,,Klinik Utama,0721-240549,-5.41621,105.255,JENDRAL SUPRAPTO NO.51/37,libs/assets/images/rs_merah.png
0106S003,KLINIK HD TIRTAYASA MEDIKA C,,Klinik Utama,0721-5617730,-5.39619,105.3,JALAN PANGERAN TIRTAYASA NO. 30 B,libs/assets/images/rs_hijau.png
0106U021,dr. Boy Zaghlul Zaini,,Dokter Umum,081369944401,-5.38316,105.272,JL. KIMAJA BLOK AA 7 WAY HALIM,libs/assets/images/rs_merah.png
0106U029,dr. Rahmi Lisa   ,,Dokter Umum,082183907648,-5.418786439757831,105.26976217757648,JL. PERINTIS KEMERDEKAAN NO.1,libs/assets/images/rs_merah.png
0106U147,dr. Melda Dasepta,,Dokter Umum,0852-79901076,-5.39417,105.308,JL. PULAU SINGKEP GG.PUJAS  NO 2,libs/assets/images/rs_merah.png
0106U150,dr. Yulita Tricia,,Dokter Umum,081369540919,-5.3910467034475,105.25257889318,JL. RUSA GG. KAPLING 2 NO.93 ,libs/assets/images/rs_merah.png
0106U151,dr. Mira Indriyani,,Dokter Umum,0821-84997766,-5.36803,105.3,JL. RYACUDU PERUM KORPRI BLOK,libs/assets/images/rs_merah.png
0106U152,dr. Leni,,Dokter Umum,0852-69150841,-5.39942,105.306,JL. P. TIRTAYASA NO.89A,libs/assets/images/rs_merah.png
0106U153,dr. Nila Kentjana Sahir,,Dokter Umum,0815-8746652,-5.38023,105.292,JL. RYACUDU NO.33A,libs/assets/images/rs_merah.png
0106U154,dr. Tria Yune Eriartasari,,Dokter Umum,0721-785431,-5.39904,105.278,JL. PULAU MOROTAI NO.38,libs/assets/images/rs_merah.png
0106U155,dr. Vera Rusmita,,Dokter Umum,081373829004,-5.36122,105.304,JL. RYACUDU NO.3 LK II,libs/assets/images/rs_merah.png
0106U156,dr. Evi Kurniawati,,Dokter Umum,0721-481326,-5.43926,105.256,JL. ANGGUN CIK TUNGGAL NO.02,libs/assets/images/rs_merah.png
0106U157,dr. Hensen Tovic,,Dokter Umum,0721-81287898,-5.4568,105.254,JL RE MARTADINATA PURI PERWATA,libs/assets/images/rs_merah.png
0106U167,DR. LILA TRI WULANDARI,,Dokter Umum,0812-6231579,-5.3608,105.271,TURI RAYA PERUMAHAN GRAHA MADU,libs/assets/images/rs_merah.png
08020803,HANURA,,Puskesmas,0821-85480023,-5.53349,105.238,JL. SUPRAPTO NO.1 HANURA,libs/assets/images/rs_merah.png
08020901,GEDONG TATAAN,,Puskesmas,0721-3740002,-5.38026,105.1,JL. AHMAD YANI NO 1,libs/assets/images/rs_merah.png
08020902,BERNUNG,,Puskesmas,0811-7291112,-5.36622,105.164,JL. RAYA BERNUNG KM 18,libs/assets/images/rs_merah.png
0471A002,APOTEK PAMUNGKAS,,Apotik,0821-16658181,-5.3800903554705,105.10415828827,JL. JEND AHMAD YANI ,libs/assets/images/rs_merah.png
0471A003,IF RSU GLADISH MEDICAL CENTER,,Apotik,0721-562016,-5.36606,105.151,JLN. A YANI TAMAN SARI RT 01/0,libs/assets/images/rs_merah.png
0801A020,INSTALASI FARMASI RS JIWA,,Apotik,0721-271170,-5.37561,105.194,JL.RAYA GEDONGTAAN,libs/assets/images/rs_merah.png
0471B031,Klinik As Shoffa,,Klinik Pratama,0853-82725735,-5.37648,105.128,JL. JENDRAL AHMAD YANI NO.662,libs/assets/images/rs_merah.png
0471B037,KLINIK POLRES PESAWARAN,,Klinik Pratama,0813-69140291,-5.37914,105.111,JALAN AHMAD YANI NO.17,libs/assets/images/rs_merah.png
0471O001,OPTIK AS,,Optik,0821-79705551,-5.3801130538092,105.10421997908,JL. JENDRAL AHMAD YANI DESA SU,libs/assets/images/rs_merah.png
0471O002,OPTIK BESTIE,,Optik,0853-8113700,-5.3658035862439,105.1510945991,"JL. RAYA TAMAN SARI II, DESA T",libs/assets/images/rs_merah.png
0471R003,RSU GLADISH MEDICAL CENTER,,Rumah sakit,0721-5620168,-5.36625,105.151,JLN. AHMAD YANI NO. 36 TAMAN S,libs/assets/images/rs_hijau.png
0801R007,RS JIWA PROVINSI LAMPUNG,,Rumah sakit,0721-271170,-5.37544,105.194,JL. RAYA GEDONG TATAAN KM 13,libs/assets/images/rs_hijau.png
0471U034,DR. NUNING ERNA NINGSIH,,Dokter Umum,081267592312,-5.24363,105.1,"JL. PASAR TRISNOMAJU. RT/RW 02/01. TRISNOMAJU, KEC NEGRI KATON. PESAWARAN",libs/assets/images/rs_merah.png
